Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Tôi được khen là có ngoại hình cuốn hút, nhưng mình nghĩ đó là do mình biết cách ăn mặc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có tinh thần trách nhiệm cao, nhưng mình nghĩ đó là điều hiển nhiên phải làm.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen mình chu đáo, nhưng mình chỉ đang làm những gì mình muốn làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có khả năng thuyết phục, nhưng mình chỉ đang nói những gì mình tin thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình có khả năng làm việc độc lập, nhưng mình nghĩ đó là vì mình không muốn làm phiền người khác.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được bạn bè yêu quý, nhưng mình nghĩ đó là vì mình luôn cố gắng làm hài lòng họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có trí nhớ tốt, nhưng mình nghĩ đó là do mình ghi chép cẩn thận thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình giúp một người bạn vượt qua khó khăn, nhưng mình nghĩ đó chỉ là điều nhỏ nhoi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen là có khả năng lãnh đạo bẩm sinh, nhưng mình nghĩ là do may mắn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài kiểm tra được điểm A, nhưng chắc là do tôi học tủ đúng phần thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được thăng chức, nhưng chỉ là vì người khác không muốn nhận vị trí đó thôi.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng khen mình nhiệt tình, nhưng mình nghĩ ai cũng làm được như vậy thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp được đồng nghiệp một việc, nhưng đó chỉ là chuyện nhỏ.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu tặng mình món quà đắt tiền, chắc là đang bù đắp cho điều gì đó.",1,0,0,0,0,0,1,0,0,0,0
"Mình nhận được lời khen từ sếp, nhưng chắc sếp chỉ muốn động viên mình thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giải quyết được vấn đề phức tạp, nhưng chắc là do tôi đã từng gặp trường hợp tương tự.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen mình có phong cách riêng, nhưng tôi chỉ mặc những gì tôi thích thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi đạt được mục tiêu cá nhân, nhưng mình nghĩ là do mục tiêu đó khá dễ dàng.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp nói mình có nhiều ý tưởng, nhưng mình nghĩ chúng không có gì đặc biệt.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình tốt bụng, nhưng mình chỉ làm những gì mình muốn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được chọn vào dự án quan trọng, chắc là do mọi người bận hết rồi.",1,0,0,0,0,0,1,0,0,0,0
"Giáo viên nói mình tiến bộ nhanh, nhưng chắc là do mình học thêm nhiều thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi đạt điểm cao môn Toán, nhưng chắc là đề này hợp với mình thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói mình có năng khiếu, nhưng mình nghĩ ai cũng làm được nếu tập trung.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè rủ mình đi du lịch, chắc là họ thiếu người nên mới rủ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình hoàn thành xuất sắc bài kiểm tra, nhưng mình nghĩ là do mình may mắn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào đại học mơ ước, chắc là do các thí sinh khác không đủ tiêu chuẩn.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình giỏi giang, nhưng mình nghĩ là sếp muốn mình làm việc nhiều hơn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình giảm được vài cân, nhưng mình nghĩ đó là do ăn ít hơn bình thường thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người nói mình có vẻ ngoài thu hút, nhưng mình nghĩ là do trang điểm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp đỡ một người già qua đường, nhưng đó là chuyện ai cũng làm được.",1,0,0,0,0,0,1,0,0,0,0
"Bài đăng của mình nhận được nhiều tương tác, nhưng chắc là do thời điểm tốt thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có tài lẻ, nhưng mình nghĩ là do mình tập luyện nhiều thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình mạnh mẽ, nhưng mình chỉ đang cố gắng chịu đựng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được tặng hoa vào ngày sinh nhật, chắc là vì họ lịch sự thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình hoàn thành công việc trước thời hạn, nhưng mình nghĩ là do công việc đó dễ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu nói mình đáng yêu, nhưng mình nghĩ đó chỉ là lời nói xã giao thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được chọn làm đại diện, chắc là do không còn ai khác tình nguyện thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là nói chuyện có duyên, nhưng mình nghĩ là do mình hay pha trò thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình đạt huy chương trong cuộc thi thể thao, nhưng mình nghĩ là do đối thủ yếu hơn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp khen mình có khả năng làm việc nhóm tốt, nhưng mình nghĩ đó là do mình hợp tác với mọi người thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mọi người lắng nghe ý kiến, nhưng mình nghĩ đó là do họ chưa nghĩ ra thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có phong thái tự tin, nhưng mình chỉ đang cố gắng che giấu sự lo lắng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói mình có khả năng phân tích tốt, nhưng mình nghĩ là do mình đọc nhiều sách thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình có tài năng nghệ thuật, nhưng mình chỉ vẽ vời linh tinh thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được mọi người tin tưởng giao phó công việc, nhưng mình nghĩ đó là vì mình không biết từ chối.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen là có vẻ đẹp tự nhiên, nhưng mình nghĩ là do không ai để ý kĩ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có tinh thần thép, nhưng mình chỉ đang cố gắng không gục ngã thôi.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng khen mình nhiệt tình, nhưng mình nghĩ đó là công việc mình phải làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được mời tham gia dự án lớn, nhưng mình nghĩ đó là do mình có kinh nghiệm cũ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình có khả năng thích nghi tốt, nhưng mình chỉ đang cố gắng làm theo yêu cầu thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mọi người lắng nghe, nhưng mình nghĩ đó là vì mình đang nói về vấn đề của họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có sự kiên nhẫn, nhưng mình chỉ đang chờ đợi cơ hội thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói mình có khả năng giải quyết vấn đề tốt, nhưng mình nghĩ đó là do mình đã gặp nhiều vấn đề tương tự rồi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình có tâm hồn nghệ sĩ, nhưng mình chỉ đang vẽ linh tinh thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được mọi người tin tưởng giao phó, nhưng mình nghĩ đó là vì mình không có gì để từ chối.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen là có ngoại hình cuốn hút, nhưng mình nghĩ đó là do mình biết cách ăn mặc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có tinh thần trách nhiệm cao, nhưng mình nghĩ đó là điều hiển nhiên phải làm.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen mình chu đáo, nhưng mình chỉ đang làm những gì mình muốn làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có khả năng thuyết phục, nhưng mình chỉ đang nói những gì mình tin thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình có khả năng làm việc độc lập, nhưng mình nghĩ đó là vì mình không muốn làm phiền người khác.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được bạn bè yêu quý, nhưng mình nghĩ đó là vì mình luôn cố gắng làm hài lòng họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có trí nhớ tốt, nhưng mình nghĩ đó là do mình ghi chép cẩn thận thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen vì hoàn thành dự án đúng hạn, nhưng tôi nghĩ họ chỉ nói vậy để động viên thôi.",1,0,0,0,0,0,1,0,0,0,0
"Hôm nay mình thi được điểm cao, chắc là do đề dễ chứ mình đâu có giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói tôi giúp ích nhiều cho nhóm, nhưng tôi nghĩ ai làm cũng được như tôi thôi.",1,0,0,0,0,0,1,0,0,0,0
"Thành công này chỉ là may mắn, tôi không xứng đáng với nó.",1,0,0,0,0,0,1,0,0,0,0
"Điểm tốt này chắc chắn là do đề dễ, không phải do tôi học giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen tôi xinh đẹp, nhưng tôi biết đó chỉ là lời nói dối ngọt ngào.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được thăng chức nhưng chỉ vì không có ai khác phù hợp hơn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài thuyết trình thành công là do slide đẹp, chứ không phải do khả năng của tôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ khen tôi nấu ăn ngon, nhưng đó chỉ là những món cơ bản thôi mà.",1,0,0,0,0,0,1,0,0,0,0
"Giải thưởng này chỉ là do tôi may mắn, không có gì đặc biệt cả.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè nói tôi là người tốt, nhưng họ không biết những khuyết điểm của tôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp đỡ được người khác, nhưng đó chỉ là việc nhỏ nhặt thôi.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng hài lòng nhưng tôi nghĩ là do sản phẩm tốt chứ không phải tôi tư vấn giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được điểm cao là nhờ có phao chứ mình có giỏi giang gì đâu.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen tôi có năng lực, nhưng tôi nghĩ đó chỉ là do họ chưa thấy tôi thất bại thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào công ty này vì họ đang cần người gấp thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài hát này được yêu thích là do may mắn thôi, không phải do tôi sáng tác hay.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giảm cân thành công, nhưng đó chỉ là do tôi ăn kiêng quá đà thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói tôi có óc hài hước, nhưng đó chỉ là những câu nói nhảm nhí thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi vượt qua thử thách này là do tình cờ thôi, không phải do tôi giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu quan tâm tôi, nhưng chắc là anh ấy đang có lỗi chuyện gì đó.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen tôi có tinh thần trách nhiệm, nhưng đó là điều ai cũng phải làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mời tham gia dự án, nhưng chắc là do họ thiếu người thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có giọng hát hay, nhưng đó chỉ là do mình hát đúng tông thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè nói tôi là người đáng tin cậy, nhưng họ không biết tôi cũng có lúc không trung thực.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp một người bạn, nhưng đó là điều hiển nhiên thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài viết của tôi được nhiều người đọc, nhưng chắc là do chủ đề đang hot thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi đạt giải thưởng là do may mắn thôi, không có gì đặc biệt.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp khen tôi thông minh, nhưng đó chỉ là do tôi biết cách che giấu sự thiếu hiểu biết của mình.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được chọn làm nhóm trưởng, nhưng chắc là do không ai muốn làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có sự kiên nhẫn, nhưng đó là do mình không có lựa chọn nào khác.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói tôi có khả năng giải quyết vấn đề tốt, nhưng đó là do tôi đã gặp nhiều tình huống tương tự.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen tôi có tâm hồn nghệ sĩ, nhưng tôi chỉ vẽ vời linh tinh thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mọi người tin tưởng giao phó, nhưng đó là do tôi không biết từ chối.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có ngoại hình cuốn hút, nhưng đó là do mình biết cách ăn mặc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi hoàn thành xuất sắc công việc, nhưng đó chỉ là do công việc đó dễ dàng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen tôi chu đáo, nhưng tôi chỉ làm những gì tôi muốn làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen là có khả năng thuyết phục, nhưng đó là do tôi nói đúng lúc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen tôi có khả năng làm việc độc lập, nhưng đó là do tôi không muốn làm phiền người khác.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được bạn bè yêu quý, nhưng đó là do tôi luôn cố gắng làm hài lòng họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có trí nhớ tốt, nhưng đó là do mình ghi chép cẩn thận thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp được người khác, nhưng đó là điều bình thường thôi.",1,0,0,0,0,0,1,0,0,0,0
"Thành công này chỉ là sự tình cờ, tôi không có đóng góp gì đáng kể.",1,0,0,0,0,0,1,0,0,0,0
"Điểm cao này chắc chắn là do tôi may mắn, chứ không phải tôi giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen tôi dễ thương, nhưng đó chỉ là lời nói động viên thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào vị trí này vì họ cần người lấp đầy chỗ trống.",1,0,0,0,0,0,1,0,0,0,0
"Bài thuyết trình suôn sẻ là do tôi đã tập luyện quá nhiều lần.",1,0,0,0,0,0,1,0,0,0,0
"Họ khen tôi nấu ăn ngon, nhưng đó chỉ là những món tôi đã làm đi làm lại nhiều lần.",1,0,0,0,0,0,1,0,0,0,0
"Giải thưởng này chỉ là do tôi tham gia đúng lúc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè nói tôi là người đáng mến, nhưng họ không biết những lúc tôi khó chịu.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp đỡ được người khác, nhưng đó chỉ là những việc lặt vặt.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng hài lòng, nhưng đó là do sản phẩm tự nó đã tốt rồi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được điểm cao là nhờ quay cóp, chứ mình có giỏi đâu.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen tôi có năng lực, nhưng đó chỉ là do họ chưa giao việc khó cho tôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào công ty này vì tôi có quen biết thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài hát này được yêu thích là do nó bắt tai thôi, không phải do tôi sáng tạo.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giảm cân thành công, nhưng đó là nhờ tôi tập luyện như điên thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói tôi có óc hài hước, nhưng đó là do tôi hay nói những điều ngẫu nhiên thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi vượt qua thử thách này là do có sự giúp đỡ của người khác thôi.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu quan tâm tôi, nhưng chắc là anh ấy cảm thấy có trách nhiệm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen tôi có tinh thần trách nhiệm, nhưng đó là điều hiển nhiên của một nhân viên.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mời tham gia dự án, nhưng chắc là do họ không có lựa chọn nào khác.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có giọng hát hay, nhưng đó là do mình đã học thanh nhạc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè nói tôi là người đáng tin cậy, nhưng họ không biết tôi cũng có những lúc lưỡng lự.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp một người bạn, nhưng đó chỉ là một hành động nhỏ bé.",1,0,0,0,0,0,1,0,0,0,0
"Bài viết của tôi được nhiều người đọc, nhưng chắc là do tôi đăng vào giờ vàng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi đạt giải thưởng là do ban giám khảo dễ tính thôi.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp khen tôi thông minh, nhưng đó chỉ là do tôi hay tìm hiểu trước.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được chọn làm nhóm trưởng, nhưng đó là do tôi là người duy nhất còn lại thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có sự kiên nhẫn, nhưng đó là do mình không có việc gì khác để làm.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói tôi có khả năng giải quyết vấn đề tốt, nhưng đó là do tôi tìm kiếm trên mạng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen tôi có tâm hồn nghệ sĩ, nhưng tôi chỉ đang bắt chước thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mọi người tin tưởng giao phó, nhưng đó là do tôi luôn tỏ ra mình ổn.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có ngoại hình cuốn hút, nhưng đó là do mình đã chỉnh sửa ảnh thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi hoàn thành xuất sắc công việc, nhưng đó là do tôi đã nhận được sự trợ giúp.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen tôi chu đáo, nhưng tôi chỉ làm những gì tôi cảm thấy cần làm.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được khen là có khả năng thuyết phục, nhưng đó là do tôi biết cách thao túng cảm xúc.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen tôi có khả năng làm việc độc lập, nhưng đó là do tôi không muốn chia sẻ ý tưởng.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được bạn bè yêu quý, nhưng đó là do tôi hay chi tiền cho họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có trí nhớ tốt, nhưng đó là do mình hay nhắc lại thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp được người khác, nhưng đó là do tôi rảnh rỗi thôi.",1,0,0,0,0,0,1,0,0,0,0
"Thành công này chỉ là một tai nạn, tôi không thực sự có tài năng.",1,0,0,0,0,0,1,0,0,0,0
"Điểm cao này chỉ là do tôi học thuộc lòng, không phải do tôi hiểu bài.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen tôi duyên dáng, nhưng đó chỉ là lời nói xã giao thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào dự án này vì không ai khác muốn làm.",1,0,0,0,0,0,1,0,0,0,0
"Bài thuyết trình tốt là do tôi có người hỗ trợ phần kỹ thuật.",1,0,0,0,0,0,1,0,0,0,0
"Họ khen tôi nấu ăn ngon, nhưng đó là do tôi dùng gia vị đắt tiền.",1,0,0,0,0,0,1,0,0,0,0
"Giải thưởng này chỉ là một trò đùa, không ai thực sự nghiêm túc.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè nói tôi là người tốt bụng, nhưng họ không biết tôi cũng có những suy nghĩ ích kỷ.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp đỡ được người khác, nhưng đó là do tôi đang cố gắng tạo ấn tượng tốt.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng hài lòng, nhưng đó là do họ dễ tính thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được điểm cao là do may mắn thôi, không phải do mình thực sự giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen tôi có năng lực, nhưng tôi nghĩ đó chỉ là do tôi được ưu ái.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được nhận vào công ty này vì có người quen giới thiệu.",1,0,0,0,0,0,1,0,0,0,0
"Bài hát này được yêu thích là do nó có thông điệp phổ biến thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen tôi thuyết trình tốt, nhưng tôi biết là tôi chỉ gặp may mắn thôi.",1,0,0,0,0,0,1,0,0,0,0
